work_year,experience_level,job_title,salary_in_usd
2020,EN,3D Computer Vision Researcher,0
2020,EN,AI Scientist,45896.0
2020,EN,Analytics Engineer,0
2020,EN,Applied Data Scientist,0
2020,EN,Applied Machine Learning Scientist,0
2020,EN,BI Data Analyst,0
2020,EN,Big Data Architect,0
2020,EN,Big Data Engineer,70000.0
2020,EN,Business Data Analyst,100000.0
2020,EN,Cloud Data Engineer,0
2020,EN,Computer Vision Engineer,0
2020,EN,Computer Vision Software Engineer,0
2020,EN,Data Analyst,44768.0
2020,EN,Data Analytics Engineer,0
2020,EN,Data Analytics Lead,0
2020,EN,Data Analytics Manager,0
2020,EN,Data Architect,0
2020,EN,Data Engineer,48215.5
2020,EN,Data Engineering Manager,0
2020,EN,Data Science Consultant,5707.0
2020,EN,Data Science Engineer,0
2020,EN,Data Science Manager,0
2020,EN,Data Scientist,54983.333333333336
2020,EN,Data Specialist,0
2020,EN,Director of Data Engineering,0
2020,EN,Director of Data Science,0
2020,EN,ETL Developer,0
2020,EN,Finance Data Analyst,0
2020,EN,Financial Data Analyst,0
2020,EN,Head of Data,0
2020,EN,Head of Data Science,0
2020,EN,Head of Machine Learning,0
2020,EN,Lead Data Analyst,0
2020,EN,Lead Data Engineer,0
2020,EN,Lead Data Scientist,0
2020,EN,Lead Machine Learning Engineer,0
2020,EN,ML Engineer,15966.0
2020,EN,Machine Learning Developer,0
2020,EN,Machine Learning Engineer,194000.0
2020,EN,Machine Learning Infrastructure Engineer,0
2020,EN,Machine Learning Manager,0
2020,EN,Machine Learning Scientist,0
2020,EN,Marketing Data Analyst,0
2020,EN,NLP Engineer,0
2020,EN,Principal Data Analyst,0
2020,EN,Principal Data Engineer,0
2020,EN,Principal Data Scientist,0
2020,EN,Product Data Analyst,0
2020,EN,Research Scientist,42000.0
2020,EN,Staff Data Scientist,0
2020,EX,3D Computer Vision Researcher,0
2020,EX,AI Scientist,0
2020,EX,Analytics Engineer,0
2020,EX,Applied Data Scientist,0
2020,EX,Applied Machine Learning Scientist,0
2020,EX,BI Data Analyst,0
2020,EX,Big Data Architect,0
2020,EX,Big Data Engineer,0
2020,EX,Business Data Analyst,0
2020,EX,Cloud Data Engineer,0
2020,EX,Computer Vision Engineer,0
2020,EX,Computer Vision Software Engineer,0
2020,EX,Data Analyst,0
2020,EX,Data Analytics Engineer,0
2020,EX,Data Analytics Lead,0
2020,EX,Data Analytics Manager,0
2020,EX,Data Architect,0
2020,EX,Data Engineer,0
2020,EX,Data Engineering Manager,79833.0
2020,EX,Data Science Consultant,0
2020,EX,Data Science Engineer,0
2020,EX,Data Science Manager,0
2020,EX,Data Scientist,0
2020,EX,Data Specialist,0
2020,EX,Director of Data Engineering,0
2020,EX,Director of Data Science,325000.0
2020,EX,ETL Developer,0
2020,EX,Finance Data Analyst,0
2020,EX,Financial Data Analyst,0
2020,EX,Head of Data,0
2020,EX,Head of Data Science,0
2020,EX,Head of Machine Learning,0
2020,EX,Lead Data Analyst,0
2020,EX,Lead Data Engineer,0
2020,EX,Lead Data Scientist,0
2020,EX,Lead Machine Learning Engineer,0
2020,EX,ML Engineer,0
2020,EX,Machine Learning Developer,0
2020,EX,Machine Learning Engineer,0
2020,EX,Machine Learning Infrastructure Engineer,0
2020,EX,Machine Learning Manager,0
2020,EX,Machine Learning Scientist,0
2020,EX,Marketing Data Analyst,0
2020,EX,NLP Engineer,0
2020,EX,Principal Data Analyst,0
2020,EX,Principal Data Engineer,0
2020,EX,Principal Data Scientist,0
2020,EX,Product Data Analyst,0
2020,EX,Research Scientist,0
2020,EX,Staff Data Scientist,0
2020,MI,3D Computer Vision Researcher,0
2020,MI,AI Scientist,0
2020,MI,Analytics Engineer,0
2020,MI,Applied Data Scientist,0
2020,MI,Applied Machine Learning Scientist,0
2020,MI,BI Data Analyst,98000.0
2020,MI,Big Data Architect,0
2020,MI,Big Data Engineer,0
2020,MI,Business Data Analyst,135000.0
2020,MI,Cloud Data Engineer,0
2020,MI,Computer Vision Engineer,0
2020,MI,Computer Vision Software Engineer,0
2020,MI,Data Analyst,46586.333333333336
2020,MI,Data Analytics Engineer,0
2020,MI,Data Analytics Lead,0
2020,MI,Data Analytics Manager,0
2020,MI,Data Architect,0
2020,MI,Data Engineer,100656.83333333333
2020,MI,Data Engineering Manager,59303.0
2020,MI,Data Science Consultant,103000.0
2020,MI,Data Science Engineer,0
2020,MI,Data Science Manager,0
2020,MI,Data Scientist,71256.0
2020,MI,Data Specialist,0
2020,MI,Director of Data Engineering,0
2020,MI,Director of Data Science,0
2020,MI,ETL Developer,0
2020,MI,Finance Data Analyst,0
2020,MI,Financial Data Analyst,0
2020,MI,Head of Data,0
2020,MI,Head of Data Science,0
2020,MI,Head of Machine Learning,0
2020,MI,Lead Data Analyst,87000.0
2020,MI,Lead Data Engineer,56000.0
2020,MI,Lead Data Scientist,115000.0
2020,MI,Lead Machine Learning Engineer,0
2020,MI,ML Engineer,0
2020,MI,Machine Learning Developer,0
2020,MI,Machine Learning Engineer,43331.0
2020,MI,Machine Learning Infrastructure Engineer,50180.0
2020,MI,Machine Learning Manager,0
2020,MI,Machine Learning Scientist,0
2020,MI,Marketing Data Analyst,0
2020,MI,NLP Engineer,0
2020,MI,Principal Data Analyst,0
2020,MI,Principal Data Engineer,0
2020,MI,Principal Data Scientist,0
2020,MI,Product Data Analyst,13036.0
2020,MI,Research Scientist,450000.0
2020,MI,Staff Data Scientist,0
2020,SE,3D Computer Vision Researcher,0
2020,SE,AI Scientist,0
2020,SE,Analytics Engineer,0
2020,SE,Applied Data Scientist,0
2020,SE,Applied Machine Learning Scientist,0
2020,SE,BI Data Analyst,0
2020,SE,Big Data Architect,0
2020,SE,Big Data Engineer,111535.5
2020,SE,Business Data Analyst,0
2020,SE,Cloud Data Engineer,0
2020,SE,Computer Vision Engineer,60000.0
2020,SE,Computer Vision Software Engineer,0
2020,SE,Data Analyst,0
2020,SE,Data Analytics Engineer,0
2020,SE,Data Analytics Lead,0
2020,SE,Data Analytics Manager,0
2020,SE,Data Architect,0
2020,SE,Data Engineer,89803.33333333333
2020,SE,Data Engineering Manager,0
2020,SE,Data Science Consultant,0
2020,SE,Data Science Engineer,0
2020,SE,Data Science Manager,190200.0
2020,SE,Data Scientist,172916.25
2020,SE,Data Specialist,0
2020,SE,Director of Data Engineering,0
2020,SE,Director of Data Science,0
2020,SE,ETL Developer,0
2020,SE,Finance Data Analyst,0
2020,SE,Financial Data Analyst,0
2020,SE,Head of Data,0
2020,SE,Head of Data Science,0
2020,SE,Head of Machine Learning,0
2020,SE,Lead Data Analyst,0
2020,SE,Lead Data Engineer,125000.0
2020,SE,Lead Data Scientist,190000.0
2020,SE,Lead Machine Learning Engineer,0
2020,SE,ML Engineer,0
2020,SE,Machine Learning Developer,0
2020,SE,Machine Learning Engineer,97809.0
2020,SE,Machine Learning Infrastructure Engineer,0
2020,SE,Machine Learning Manager,117104.0
2020,SE,Machine Learning Scientist,260000.0
2020,SE,Marketing Data Analyst,0
2020,SE,NLP Engineer,0
2020,SE,Principal Data Analyst,0
2020,SE,Principal Data Engineer,0
2020,SE,Principal Data Scientist,148261.0
2020,SE,Product Data Analyst,0
2020,SE,Research Scientist,0
2020,SE,Staff Data Scientist,0
2021,EN,3D Computer Vision Researcher,0
2021,EN,AI Scientist,14017.666666666666
2021,EN,Analytics Engineer,0
2021,EN,Applied Data Scientist,110037.0
2021,EN,Applied Machine Learning Scientist,0
2021,EN,BI Data Analyst,32136.0
2021,EN,Big Data Architect,0
2021,EN,Big Data Engineer,11055.0
2021,EN,Business Data Analyst,59102.0
2021,EN,Cloud Data Engineer,0
2021,EN,Computer Vision Engineer,28609.0
2021,EN,Computer Vision Software Engineer,70000.0
2021,EN,Data Analyst,58242.666666666664
2021,EN,Data Analytics Engineer,0
2021,EN,Data Analytics Lead,0
2021,EN,Data Analytics Manager,0
2021,EN,Data Architect,0
2021,EN,Data Engineer,53915.6
2021,EN,Data Engineering Manager,0
2021,EN,Data Science Consultant,76874.25
2021,EN,Data Science Engineer,0
2021,EN,Data Science Manager,0
2021,EN,Data Scientist,53621.72727272727
2021,EN,Data Specialist,0
2021,EN,Director of Data Engineering,0
2021,EN,Director of Data Science,0
2021,EN,ETL Developer,0
2021,EN,Finance Data Analyst,0
2021,EN,Financial Data Analyst,0
2021,EN,Head of Data,0
2021,EN,Head of Data Science,0
2021,EN,Head of Machine Learning,0
2021,EN,Lead Data Analyst,0
2021,EN,Lead Data Engineer,0
2021,EN,Lead Data Scientist,0
