work_year,experience_level,job_title,salary_in_usd
2020,MI,Data Scientist,79833
2020,SE,Machine Learning Scientist,260000
2020,SE,Big Data Engineer,109024
2020,MI,Product Data Analyst,20000
2020,SE,Machine Learning Engineer,150000
2020,EN,Data Analyst,72000
2020,SE,Lead Data Scientist,190000
2020,MI,Data Scientist,35735
2020,MI,Business Data Analyst,135000
2020,SE,Lead Data Engineer,125000
2020,EN,Data Scientist,51321
2020,MI,Data Scientist,40481
2020,EN,Data Scientist,39916
2020,MI,Lead Data Analyst,87000
2020,MI,Data Analyst,85000
2020,MI,Data Analyst,8000
2020,EN,Data Engineer,41689
2020,SE,Big Data Engineer,114047
2020,EN,Data Science Consultant,5707
2020,MI,Lead Data Engineer,56000
2020,MI,Machine Learning Engineer,43331
2020,MI,Product Data Analyst,6072
2020,SE,Data Engineer,47899
2020,MI,BI Data Analyst,98000
2020,MI,Lead Data Scientist,115000
2020,EX,Director of Data Science,325000
2020,EN,Research Scientist,42000
2020,SE,Data Engineer,33511
2020,EN,Business Data Analyst,100000
2020,SE,Machine Learning Manager,117104
2020,MI,Data Engineering Manager,59303
2020,EN,Big Data Engineer,70000
2020,SE,Data Scientist,68428
2020,MI,Research Scientist,450000
2020,MI,Data Analyst,46759
2020,MI,Data Engineer,74130
2020,MI,Data Science Consultant,103000
2020,EN,Machine Learning Engineer,250000
2020,EN,Data Analyst,10000
2020,EN,Machine Learning Engineer,138000
2020,MI,Data Scientist,45760
2020,EX,Data Engineering Manager,79833
2020,MI,Machine Learning Infrastructure Engineer,50180
2020,MI,Data Engineer,106000
2020,MI,Data Engineer,112872
2020,EN,ML Engineer,15966
2020,MI,Data Scientist,76958
2020,SE,Data Engineer,188000
2020,MI,Data Scientist,105000
2020,MI,Data Engineer,70139
2020,EN,Data Analyst,6072
2020,EN,Data Analyst,91000
2020,EN,AI Scientist,45896
2020,EN,Data Engineer,54742
2020,SE,Computer Vision Engineer,60000
2020,SE,Principal Data Scientist,148261
2020,MI,Data Scientist,38776
2020,MI,Data Scientist,118000
2020,SE,Data Scientist,120000
2020,MI,Data Scientist,138350
2020,MI,Data Engineer,110000
2020,MI,Data Engineer,130800
2020,EN,Data Scientist,21669
2020,SE,Data Scientist,412000
2020,SE,Machine Learning Engineer,45618
2020,EN,Data Scientist,62726
2020,EN,Data Scientist,49268
2020,SE,Data Science Manager,190200
2020,EN,Data Scientist,105000
2020,SE,Data Scientist,91237
2020,MI,Data Scientist,62726
2020,MI,Data Scientist,42197
2021,EN,Research Scientist,82528
2021,EX,BI Data Analyst,150000
2021,EX,Head of Data,235000
2021,SE,Data Scientist,53192
2021,MI,BI Data Analyst,100000
2021,MI,3D Computer Vision Researcher,5409
2021,MI,ML Engineer,270000
2021,EN,Data Analyst,80000
2021,SE,Data Analytics Engineer,79197
2021,MI,Data Engineer,140000
2021,MI,Applied Data Scientist,54238
2021,MI,Machine Learning Engineer,47282
2021,EX,Director of Data Science,153667
2021,MI,Data Engineer,28476
2021,EN,Data Analyst,59102
2021,MI,Data Analytics Engineer,110000
2021,SE,Lead Data Analyst,170000
2021,SE,Data Analyst,80000
2021,SE,Marketing Data Analyst,88654
2021,EN,Data Science Consultant,76833
2021,MI,Lead Data Analyst,19609
2021,SE,Lead Data Engineer,276000
2021,EN,Data Scientist,29751
2021,MI,Cloud Data Engineer,89294
2021,EN,AI Scientist,12000
2021,MI,Financial Data Analyst,450000
2021,EN,Computer Vision Software Engineer,70000
2021,MI,Computer Vision Software Engineer,95746
2021,MI,Data Analyst,75000
2021,SE,Data Engineer,150000
2021,MI,BI Data Analyst,36259
2021,MI,Data Analyst,62000
2021,MI,Data Scientist,73000
2021,MI,Data Analyst,51519
2021,MI,Research Scientist,187442
2021,SE,Data Engineer,115000
2021,SE,Data Engineer,150000
2021,EN,Data Engineer,30428
2021,SE,Machine Learning Engineer,94564
2021,SE,Director of Data Engineering,113476
2021,SE,Lead Data Engineer,103160
2021,EN,AI Scientist,12000
2021,MI,Data Engineer,45391
2021,EN,Machine Learning Scientist,225000
2021,MI,Data Scientist,50000
2021,MI,Data Science Engineer,40189
2021,EN,Data Analyst,90000
2021,MI,Data Engineer,200000
2021,MI,Big Data Engineer,60000
2021,SE,Principal Data Engineer,200000
2021,EN,Data Analyst,50000
2021,EN,Applied Data Scientist,110037
2021,EN,Data Analyst,10354
2021,MI,Principal Data Scientist,151000
2021,SE,Machine Learning Scientist,120000
2021,MI,Data Scientist,9466
2021,EN,Machine Learning Engineer,20000
2021,SE,Lead Data Scientist,40570
2021,EN,Machine Learning Developer,100000
2021,EN,Data Scientist,49646
2021,MI,Applied Machine Learning Scientist,38400
2021,SE,Computer Vision Engineer,24000
2021,EN,Data Scientist,100000
2021,MI,Data Analyst,90000
2021,MI,ML Engineer,63711
2021,MI,ML Engineer,77364
2021,SE,Principal Data Scientist,220000
2021,EN,Data Scientist,80000
2021,MI,Data Analyst,135000
2021,SE,Data Science Manager,240000
2021,SE,Data Engineering Manager,150000
2021,MI,Data Scientist,82500
2021,MI,Data Engineer,100000
2021,SE,Machine Learning Engineer,82744
2021,MI,Research Scientist,62649
2021,MI,Data Engineer,90000
2021,SE,Data Engineering Manager,153000
2021,SE,Cloud Data Engineer,160000
2021,SE,Director of Data Science,168000
2021,MI,Data Scientist,150000
2021,MI,Data Scientist,75774
2021,EN,Data Scientist,13400
2021,SE,Data Science Manager,144000
2021,SE,Data Science Engineer,127221
2021,MI,Data Scientist,119059
2021,MI,Applied Machine Learning Scientist,423000
2021,SE,Data Analytics Manager,120000
2021,EN,Machine Learning Engineer,125000
2021,EX,Head of Data,230000
2021,EX,Head of Data Science,85000
2021,MI,Data Engineer,28369
2021,EN,Data Science Consultant,63831
2021,EX,Director of Data Science,130026
2021,SE,Data Specialist,165000
2021,EN,Data Engineer,80000
2021,EX,Director of Data Science,250000
2021,EN,BI Data Analyst,55000
2021,MI,Data Architect,150000
2021,MI,Data Architect,170000
2021,MI,Data Engineer,82528
2021,EN,Data Analyst,60000
2021,SE,Principal Data Scientist,235000
2021,SE,Research Scientist,60757
2021,SE,Data Engineering Manager,174000
2021,MI,Data Scientist,2859
2021,MI,Data Scientist,40038
2021,EN,Machine Learning Engineer,81000
2021,MI,Data Scientist,5679
2021,MI,Big Data Engineer,22611
2021,MI,Data Scientist,90734
2021,MI,Data Engineer,26005
2021,SE,Finance Data Analyst,61896
2021,MI,Machine Learning Scientist,12000
2021,MI,Data Engineer,4000
2021,SE,Data Analytics Engineer,50000
2021,EX,Data Science Consultant,69741
2021,SE,Data Engineer,76833
2021,MI,Machine Learning Engineer,74000
2021,SE,Data Science Manager,152000
2021,EN,Machine Learning Engineer,21844
2021,MI,Big Data Engineer,18000
2021,SE,Data Science Manager,174000
2021,SE,Research Scientist,96113
2021,MI,Data Scientist,147000
2021,EN,BI Data Analyst,9272
2021,SE,Machine Learning Engineer,24342
2021,SE,Data Science Manager,54094
2021,EN,Data Science Consultant,90000
2021,MI,Data Scientist,61467
2021,SE,Machine Learning Infrastructure Engineer,195000
2021,MI,Data Scientist,37825
2021,SE,Research Scientist,50000
2021,MI,Data Scientist,160000
2021,MI,Data Scientist,12901
2021,SE,Machine Learning Engineer,200000
2021,SE,Data Engineer,165000
2021,MI,Data Engineer,20000
2021,SE,Data Analytics Manager,120000
2021,MI,Machine Learning Engineer,24823
2021,MI,Research Scientist,56738
2021,MI,Data Engineer,66022
2021,EN,Big Data Engineer,5882
2021,EN,Machine Learning Engineer,24823
2021,SE,Principal Data Engineer,185000
2021,EN,Computer Vision Engineer,28609
2021,MI,Data Scientist,90734
2021,MI,Machine Learning Engineer,88654
2021,SE,Data Analytics Manager,140000
2021,MI,Machine Learning Engineer,46597
2021,MI,Data Scientist,116914
2021,MI,Data Scientist,33808
2021,MI,Data Scientist,56256
2021,SE,Machine Learning Scientist,225000
2021,EX,Principal Data Scientist,416000
2021,SE,Data Scientist,87738
2021,MI,Data Scientist,88654
2021,SE,Data Scientist,135000
2021,SE,Data Analyst,71786
2021,EN,Big Data Engineer,16228
2021,SE,ML Engineer,256000
2021,SE,Director of Data Engineering,200000
2021,SE,Data Analyst,200000
2021,MI,Data Architect,180000
2021,MI,Head of Data Science,110000
2021,MI,Research Scientist,63810
2021,MI,Data Scientist,46809
2021,EN,Data Scientist,4000
2021,EN,Data Engineer,21637
2021,SE,Data Scientist,103691
2021,MI,Data Analyst,80000
2021,MI,Data Engineer,110000
2021,SE,Data Scientist,165000
2021,EN,AI Scientist,18053
2021,MI,Data Engineer,72212
2021,EN,Data Scientist,36643
2021,MI,Data Engineer,12103
2021,SE,Data Engineer,96282
2021,SE,Principal Data Analyst,170000
2021,MI,Data Scientist,115000
2021,EN,Data Scientist,90000
2021,EX,Principal Data Engineer,600000
2021,EN,Data Scientist,28399
2021,MI,Data Analyst,93000
2021,SE,Big Data Architect,99703
2021,MI,Data Engineer,200000
2021,SE,Principal Data Scientist,173762
2021,SE,Machine Learning Engineer,185000
2021,EX,Director of Data Science,141846
2021,MI,Data Scientist,130000
2021,SE,Data Analyst,63831
2021,MI,Data Scientist,16904
2021,SE,Machine Learning Engineer,66265
2021,MI,Data Scientist,25532
2021,SE,Lead Data Engineer,160000
2021,MI,Data Engineer,93150
2021,MI,Data Engineer,111775
2021,MI,Data Engineer,28016
2021,EN,Data Engineer,65013
2021,EN,Data Engineer,72500
2021,SE,Computer Vision Engineer,18907
2021,EN,Data Science Consultant,76833
2021,EN,Machine Learning Engineer,85000
2021,SE,Data Scientist,77684
2021,EN,Data Scientist,100000
2021,EN,Data Scientist,58000
2021,SE,AI Scientist,55000
2021,SE,Data Scientist,20171
2021,EN,Business Data Analyst,59102
2021,MI,Data Engineer,112000
