work_year,experience_level,job_title,salary_in_usd
2020,EN,AI Scientist,45896.0
2020,EN,Big Data Engineer,70000.0
2020,EN,Business Data Analyst,100000.0
2020,EN,Data Analyst,44768.0
2020,EN,Data Engineer,48216.0
2020,EN,Data Science Consultant,5707.0
2020,EN,Data Scientist,54983.0
2020,EN,ML Engineer,15966.0
2020,EN,Machine Learning Engineer,194000.0
2020,EN,Research Scientist,42000.0
2020,EX,Data Engineering Manager,79833.0
2020,EX,Director of Data Science,325000.0
2020,MI,BI Data Analyst,98000.0
2020,MI,Business Data Analyst,135000.0
2020,MI,Data Analyst,46586.0
2020,MI,Data Engineer,100657.0
2020,MI,Data Engineering Manager,59303.0
2020,MI,Data Science Consultant,103000.0
2020,MI,Data Scientist,71256.0
2020,MI,Lead Data Analyst,87000.0
2020,MI,Lead Data Engineer,56000.0
2020,MI,Lead Data Scientist,115000.0
2020,MI,Machine Learning Engineer,43331.0
2020,MI,Machine Learning Infrastructure Engineer,50180.0
2020,MI,Product Data Analyst,13036.0
2020,MI,Research Scientist,450000.0
2020,SE,Big Data Engineer,111536.0
2020,SE,Computer Vision Engineer,60000.0
2020,SE,Data Engineer,89803.0
2020,SE,Data Science Manager,190200.0
2020,SE,Data Scientist,172916.0
2020,SE,Lead Data Engineer,125000.0
2020,SE,Lead Data Scientist,190000.0
2020,SE,Machine Learning Engineer,97809.0
2020,SE,Machine Learning Manager,117104.0
2020,SE,Machine Learning Scientist,260000.0
2020,SE,Principal Data Scientist,148261.0
2021,EN,AI Scientist,14018.0
2021,EN,Applied Data Scientist,110037.0
2021,EN,BI Data Analyst,32136.0
2021,EN,Big Data Engineer,11055.0
2021,EN,Business Data Analyst,59102.0
2021,EN,Computer Vision Engineer,28609.0
2021,EN,Computer Vision Software Engineer,70000.0
2021,EN,Data Analyst,58243.0
2021,EN,Data Engineer,53916.0
2021,EN,Data Science Consultant,76874.0
2021,EN,Data Scientist,53622.0
2021,EN,Machine Learning Developer,100000.0
2021,EN,Machine Learning Engineer,59611.0
2021,EN,Machine Learning Scientist,225000.0
2021,EN,Research Scientist,91264.0
2021,EX,BI Data Analyst,150000.0
2021,EX,Data Science Consultant,69741.0
2021,EX,Director of Data Science,168885.0
2021,EX,Head of Data,232500.0
2021,EX,Head of Data Science,85000.0
2021,EX,Principal Data Engineer,600000.0
2021,EX,Principal Data Scientist,416000.0
2021,MI,3D Computer Vision Researcher,5409.0
2021,MI,Applied Data Scientist,54238.0
2021,MI,Applied Machine Learning Scientist,230700.0
2021,MI,BI Data Analyst,68130.0
2021,MI,Big Data Engineer,33537.0
2021,MI,Cloud Data Engineer,89294.0
2021,MI,Computer Vision Software Engineer,95746.0
2021,MI,Data Analyst,83788.0
2021,MI,Data Analytics Engineer,110000.0
2021,MI,Data Architect,166667.0
2021,MI,Data Engineer,78085.0
2021,MI,Data Science Engineer,40189.0
2021,MI,Data Scientist,72145.0
2021,MI,Financial Data Analyst,450000.0
2021,MI,Head of Data Science,110000.0
2021,MI,Lead Data Analyst,19609.0
2021,MI,ML Engineer,137025.0
2021,MI,Machine Learning Engineer,55403.0
2021,MI,Machine Learning Scientist,12000.0
2021,MI,Principal Data Scientist,151000.0
2021,MI,Research Scientist,88128.0
2021,SE,AI Scientist,55000.0
2021,SE,Big Data Architect,99703.0
2021,SE,Cloud Data Engineer,160000.0
2021,SE,Computer Vision Engineer,21454.0
2021,SE,Data Analyst,103904.0
2021,SE,Data Analytics Engineer,64598.0
2021,SE,Data Analytics Manager,126667.0
2021,SE,Data Engineer,125519.0
2021,SE,Data Engineering Manager,159000.0
2021,SE,Data Science Engineer,127221.0
2021,SE,Data Science Manager,143126.0
2021,SE,Data Scientist,91782.0
2021,SE,Data Specialist,165000.0
2021,SE,Director of Data Engineering,156738.0
2021,SE,Director of Data Science,168000.0
2021,SE,Finance Data Analyst,61896.0
2021,SE,Head of Data,102839.0
2021,SE,Lead Data Analyst,170000.0
2021,SE,Lead Data Engineer,179720.0
2021,SE,Lead Data Scientist,40570.0
2021,SE,ML Engineer,256000.0
2021,SE,Machine Learning Engineer,108819.0
2021,SE,Machine Learning Infrastructure Engineer,195000.0
2021,SE,Machine Learning Scientist,172500.0
2021,SE,Marketing Data Analyst,88654.0
2021,SE,Principal Data Analyst,170000.0
2021,SE,Principal Data Engineer,192500.0
2021,SE,Principal Data Scientist,209587.0
2021,SE,Research Scientist,68957.0
2021,SE,Staff Data Scientist,105000.0
2022,EN,Applied Machine Learning Scientist,31875.0
2022,EN,Computer Vision Engineer,67500.0
2022,EN,Computer Vision Software Engineer,150000.0
2022,EN,Data Analyst,59500.0
2022,EN,Data Analytics Engineer,20000.0
2022,EN,Data Engineer,68239.0
2022,EN,Data Scientist,59508.0
2022,EN,Financial Data Analyst,100000.0
2022,EN,ML Engineer,21983.0
2022,EN,Machine Learning Engineer,37300.0
2022,EN,Research Scientist,120000.0
2022,EX,Analytics Engineer,155000.0
2022,EX,Data Analyst,120000.0
2022,EX,Data Engineer,245500.0
2022,EX,Director of Data Science,196979.0
2022,EX,Head of Data Science,195938.0
2022,EX,Head of Machine Learning,79039.0
2022,EX,Lead Data Engineer,118187.0
2022,MI,AI Scientist,160000.0
2022,MI,Applied Data Scientist,157000.0
2022,MI,Applied Machine Learning Scientist,75000.0
2022,MI,Business Data Analyst,44677.0
2022,MI,Data Analyst,71210.0
2022,MI,Data Engineer,88981.0
2022,MI,Data Science Manager,200000.0
2022,MI,Data Scientist,99574.0
2022,MI,ETL Developer,54957.0
2022,MI,Head of Data,32974.0
2022,MI,Machine Learning Developer,78791.0
2022,MI,Machine Learning Engineer,103570.0
2022,MI,Machine Learning Infrastructure Engineer,58255.0
2022,MI,Machine Learning Scientist,141767.0
2022,MI,NLP Engineer,37236.0
2022,MI,Principal Data Analyst,75000.0
2022,MI,Research Scientist,64849.0
2022,SE,Analytics Engineer,195000.0
2022,SE,Applied Data Scientist,278500.0
2022,SE,Data Analyst,112564.0
2022,SE,Data Analytics Lead,405000.0
2022,SE,Data Analytics Manager,127485.0
2022,SE,Data Architect,182077.0
2022,SE,Data Engineer,140940.0
2022,SE,Data Science Engineer,60000.0
2022,SE,Data Science Manager,150328.0
2022,SE,Data Scientist,159942.0
2022,SE,Head of Data,200000.0
2022,SE,Lead Machine Learning Engineer,87932.0
2022,SE,Machine Learning Developer,78791.0
2022,SE,Machine Learning Engineer,147916.0
2022,SE,Principal Data Scientist,162674.0
2022,SE,Research Scientist,118714.0
